dimensionless_reaction_q,photon_massweighted_Q,potential_ev
-0.728,-15.9,6.38243731836
-0.702,-15.9,6.38386188827
-0.676,-15.9,6.3883263085
-0.65,-15.9,6.39524581794
-0.624,-15.9,6.40405772192
-0.598,-15.9,6.41422139226
-0.572,-15.9,6.42521826721
-0.546,-15.9,6.43655185149
-0.52,-15.9,6.44774771627
-0.494,-15.9,6.45835349918
-0.468,-15.9,6.4679389043
-0.442,-15.9,6.47609570218
-0.416,-15.9,6.48243772982
-0.39,-15.9,6.48660089068
-0.364,-15.9,6.48824315468
-0.338,-15.9,6.48704455818
-0.312,-15.9,6.48270720401
-0.286,-15.9,6.47495526147
-0.26,-15.9,6.46353496629
-0.234,-15.9,6.44821462068
-0.208,-15.9,6.4287845933
-0.182,-15.9,6.40505731925
-0.156,-15.9,6.37686730011
-0.13,-15.9,6.34407110391
-0.104,-15.9,6.30654736513
-0.078,-15.9,6.26419678473
-0.052,-15.9,6.21694213009
-0.026,-15.9,6.16472823507
0,-15.9,6.107522
0.026,-15.9,6.04531239164
0.052,-15.9,5.97811044322
0.078,-15.9,5.90594925442
0.104,-15.9,5.82888399139
0.13,-15.9,5.74699188673
0.156,-15.9,5.6603722395
0.182,-15.9,5.5691464152
0.208,-15.9,5.47345784582
0.234,-15.9,5.37347202977
